day,susceptibles,percentage_infected
1,4356406,2.38723198156322e-5
2,4356291.89510112,2.18649551669045e-5
3,4356184.18736934,2.38402762428017e-5
4,4356070.76565451,2.83854337701128e-5
5,4355943.20675374,3.48564445184293e-5
6,4355883.42271745,4.13239254846219e-5
7,4355817.67953128,4.64912471063639e-5
8,4355747.14348338,5.08306215513801e-5
9,4355672.5431401,5.46417309959448e-5
10,4355594.3248003,5.81165179356162e-5
11,4355512.75259565,6.13793599632285e-5
12,4355427.9725358,6.45120217527268e-5
13,4355340.05361613,6.75692507277528e-5
14,4355249.01416605,7.05885377731023e-5
15,4355154.83879184,7.35962718083097e-5
16,4355057.48919913,7.66116105042399e-5
17,4354956.91125734,7.96489838988312e-5
18,4354853.03942851,8.27196572372862e-5
19,4354745.7996916,8.58327707965293e-5
20,4354635.11135999,8.89959959675793e-5
21,4354520.8882808,9.2215982042529e-5
22,4354403.03958474,9.54986475737275e-5
23,4354281.47024359,9.88494110020534e-5
24,4354156.08117466,0.00010227325837704001
25,4354026.76959764,1.0577490257226e-4
26,4353893.42916535,1.0935886146814e-4
27,4353755.949882,1.1302945906866e-4
28,4353614.21822894,1.1679089840438e-4
29,4353468.11718704,1.2064729961221e-4
30,4353317.52616059,1.2460269472767e-4
31,4353162.32101865,1.2866106769842e-4
32,4353002.37409829,1.3282636740991e-4
33,4352837.5539928,1.3710251456939e-4
34,4352667.7258283,1.4149341747297e-4
35,4352492.75106548,1.4600297792636e-4
36,4352312.48749986,1.5063509936004e-4
37,4352126.78930806,1.5539369277344e-4
38,4351935.50679243,1.6028268166472e-4
39,4351738.48652314,1.6530600693e-4
40,4351535.57117799,1.7046763014953e-4
41,4351326.59985883,1.7577153575856e-4
42,4351113.04517013,1.8119887436866e-4
43,4350895.87683584,1.8666857474383e-4
44,4350674.38599043,1.9213769198429e-4
45,4350448.06100106,1.9760092759026e-4
46,4350216.51624735,2.0307140291571e-4
47,4349979.44661903,2.0856996248404e-4
48,4349736.59831815,2.14119416383e-4
49,4349487.75011706,2.1974163149765e-4
50,4349232.70130977,2.2545622936297e-4
51,4348971.26393208,2.3128015843667e-4
52,4348703.25774663,2.3722772415431e-4
53,4348428.50699354,2.4331083420313e-4
54,4348146.83827843,2.4953932646209e-4
55,4347858.07920795,2.5592131193567e-4
56,4347562.05751995,2.6246349350441e-4
57,4347258.60047525,2.6917143746219e-4
58,4346947.53450715,2.7604981597372e-4
59,4346628.68498269,2.8310260126297e-4
60,4346301.87604657,2.9033322381133e-4
61,4345966.93056375,2.9774469086325e-4
62,4345623.67005554,3.0533969732166e-4
63,4345271.91469788,3.1312069619471e-4
64,4344911.4833503,3.2108995864588e-4
65,4344542.19358295,3.2924961414825e-4
66,4344163.86172686,3.3760168686961e-4
67,4343776.30294143,3.4614811718456e-4
68,4343379.3312923,3.5489077573279e-4
69,4342972.75984712,3.63831473977e-4
70,4342556.40073791,3.729719660487e-4
71,4342130.06525556,3.8231394596427e-4
72,4341693.5642569,3.9185907317759e-4
73,4341246.70778835,4.016089241489e-4
74,4340789.3057707,4.1156503752071e-4
75,4340321.16761398,4.2172883514847e-4
76,4339842.10290042,4.3210175934239e-4
77,4339351.92102582,4.4268504498622e-4
78,4338850.43194494,4.5347990669463e-4
79,4338337.4457298,4.6448742012787e-4
80,4337812.77322633,4.7570855263559e-4
81,4337276.2265083,4.8714415300203e-4
82,4336727.61820755,4.9879493196261e-4
83,4336166.76288126,5.1066143955863e-4
84,4335593.47604223,5.2274408959494e-4
85,4335007.57548643,5.3504310363772e-4
86,4334408.88091796,5.4755852873383e-4
87,4333797.21372566,5.6029027445179e-4
88,4333172.40041204,5.7323789470981e-4
89,4332534.26676245,5.8640098927816e-4
90,4331882.64426719,5.9977877495139e-4
91,4331217.36722357,6.1337022509291e-4
